stop,lat,lon,routes,trips
Channanayakanapalya,13.04427586,77.48518020,1,23
Channappa Circle,12.91021212,77.37335500,31,168
Channenahalli,12.97788304,77.43064284,87,440
Channenahalli Arch,12.97977674,77.43546881,58,267
Channenahalli Ittige Factory,12.97481071,77.43526362,1,8
Chikka Basti,12.94464121,77.47504916,8,71
Chikka Basti Masjid,12.94187296,77.47405440,3,12
Chikka Kodigehalli,12.97204080,77.46491343,2,12
Chikkamariyappanapalya,12.94004634,77.40040965,1,6
Chikkammanapalya,12.95040317,77.42298782,3,24
Chikkanahalli Dodda Basti,12.93448329,77.47248035,0,0
Chikkanahalli Pachepalya,12.88179753,77.35525332,1,10
Chikka Tatguni,12.84542218,77.51415952,10,50
Chikkaveeraiahna Palya,12.94538688,77.40046732,6,68
Chikkegowdanapalya,12.87875465,77.51481325,7,51
Chikkellur Cross,12.89178419,77.42169969,7,48
Chinnakurchi,12.82743685,77.45962300,6,59
Chinnayyanapalya Silk Farm Kanakapura Road,12.85358192,77.52335468,100,743
Cholanayakanahalli Magadi Road,12.95998978,77.35940069,2,3
Chowdeshwarinagara Tavarekere,12.99755871,77.39936578,16,115
Chudahalli,12.78223787,77.48947508,4,36
Chudahalli Avasarala Automotion Factory,12.78200782,77.49261528,3,18
Chunchanakuppe Dodda Aladamara,12.91040897,77.38629531,4,29
City Engineering College Vasantha Vallabha Nagara,12.88746236,77.55010722,5,14
CK Thandya,12.86545052,77.39215784,10,84
CRPF Bannerughatta,12.79561519,77.53931187,7,35
CS-Jagadale Factory Mysore Road,12.89132402,77.45557398,1,2
CS-Kengeri Register Office,12.91395410,77.48628165,11,28
CS-Macurex Mysore Road,12.87223800,77.44404450,2,6
CS-Macurex Sensors Private Limited Mysore Road,12.89828400,77.46271938,0,0
Dalai Lama College Mysore Road,12.85051258,77.42432927,56,434
Dayananda Sagar Vidya Samste Kaggalipura,12.82497208,77.51380249,61,485
Depot-12 Gate,12.90469933,77.47083775,131,908
Depot-22  Peenya 2nd Stage,13.01941718,77.50127077,1,1
Depot-35,12.97231132,77.44214416,3,6
Devagere BGS International Residential School,12.84652633,77.46221523,2,16
Devagere Kumbalagodu Road,12.86426194,77.45709047,7,34
Deva Machohalli Cross,12.96551049,77.38113266,30,133
Dhananayakanahalli,12.93884450,77.46773310,2,16
Dinnepalya,12.81119309,77.49239152,1,9
Dodda Aladamara,12.91003240,77.39541426,48,292
Dodda Basti,12.93947281,77.47291490,22,204
Doddabele,12.88879961,77.47748695,5,52
Doddabidarakallu,13.03594289,77.49367811,5,17
Doddakuntanahalli,12.81219839,77.44968378,1,15
Doddamaranahalli,12.93054001,77.38287337,6,31
Dodderi College,12.86752000,77.38596663,11,85
Dodderi Grama,12.86629121,77.37739697,14,104
Doddypalya,12.85784178,77.47215271,2,26
Dombarahatti Dongadipura Cross,12.97213359,77.46047638,7,45
Donnehalli,12.88421154,77.37531691,10,64
Dubasipalya,12.92288098,77.49601394,3,15
East West College,12.97575097,77.48387128,4,8
East West College Cross,12.98566660,77.48627722,62,254
Eradu Kamba,12.84908814,77.45125744,26,184
Forest Gate Sulikere,12.93636174,77.43845142,0,0
Ganakal Peddanapalya,12.95730268,77.38165632,0,0
Ganakal Uttarahalli,12.89792581,77.51213371,1,1
Ganapathihalli,12.91777326,77.39523702,12,100
Gandhinagara Kaggalipura,12.79008804,77.50449867,53,412
Gandhinagara Kengeri,12.92572395,77.48246379,1,4
Ganesha Temple Ullala,12.96074585,77.47479581,1,21
Ganga International School Nelagadarenahalli,13.02823251,77.49635391,4,101
Gangappanahalli,12.95869760,77.35130310,23,110
Gangasandra,12.84624258,77.47074296,9,63
Gangenahalli Cross Tavarekere Nelamangala Road,12.97294646,77.39991814,6,40
Gangenahalli Tavarekere,12.98362719,77.39190070,2,10
Ganigarapalya,12.87609415,77.53305159,6,49
GantakanaDoddy Cross Kanakapura Main Road,12.74145471,77.48830649,19,138
Gattigerepalya,12.88632093,77.49850743,7,51
Gaviyanapalya,12.84097085,77.46995397,0,0
Gerupalya Mysore Road,12.88786406,77.44415578,2,4
G Hosahalli,12.99589869,77.47846261,2,18
Gidadakonenahalli,12.97457155,77.48786442,7,26
Gidadapalya,12.96925582,77.43559957,1,8
Girigowdana Doddy,12.74399582,77.52306635,4,39
Girigowdana Doddy Cross,12.76867962,77.50919939,1,11
Gollarahatti,12.98842852,77.47286618,162,978
Gonipura,12.83240650,77.45106077,24,180
Gopalapura Mysore Road,12.87683216,77.41655789,0,0
Gopal Estate Kaggalipura Road,12.81799981,77.48312362,1,15
Gottigehalli,12.74741652,77.52341537,4,37
Govt Sub-Urban Press,12.93487691,77.50222966,1,2
Gowrava Bhovi Palya Tavarekere,12.97380573,77.38891304,0,0
Gruhalakshmi Layout Nelagadarenahalli,13.02990135,77.50035882,4,101
Gubbalala,12.88413485,77.55103269,8,53
Gudipalya,12.76636380,77.52846453,14,98
Gudipalya Byadarahalli,12.97123184,77.47901112,2,10
Gudipalya Chudahalli,12.78833969,77.48387799,2,13
Gulaganjahalli,12.94145136,77.42532041,7,37
Gulakamale,12.79762097,77.52414798,31,210
Gundanjaneya Swamy Temple,12.74944067,77.51332998,6,35
Guttepalya Kaggalipura,12.79176105,77.52994895,2,15
Halage Vaderahalli,12.92023676,77.51396004,28,166
Halubhavi Palya Gulaganjanahalli,12.94204259,77.41605029,2,11
Hampapura,12.83068141,77.42887125,7,34
Hamsa Farm,12.98173961,77.43961953,80,393
Hegganahalli Cross,12.99969544,77.50402406,101,1074
Hejjala,12.85539649,77.42692796,17,144
Hemmigepura,12.88286172,77.48476378,9,63
Herohalli,12.99046189,77.48757340,6,15
Herohalli Cross,12.98789774,77.49380886,204,1354
H Gollahalli,12.87586928,77.48008601,9,63
Holiday Village Apartment,12.86697042,77.54370600,2,23
Honaganahatti,12.97422218,77.42119140,84,428
Hosa Doddy Kanakapura Road,12.76461303,77.48748606,2,5
Hosahalli Kenchanapura,12.96314863,77.45389894,4,29
Hosapalya Colony,12.84361320,77.47559462,9,63
Hosapalya Gangappanahalli,12.95059203,77.35740244,0,0
Hosapalya Hunasemaradapalya,12.91030794,77.45009556,7,44
Hosapalya Punagamaranahalli,12.92460702,77.39700325,2,7
Hullalu,12.95567194,77.48009083,12,259
Hullalu Aralimara,12.95768823,77.48727836,2,2
Hullalu Balaji Layout,12.96004673,77.48931594,2,2
Hullalu Satelite Town,12.96260524,77.47496911,20,286
Huluvenahalli Gate,12.91996821,77.36861286,13,66
Huluvenahalli Sulivara,12.91948302,77.36539476,2,9
Hunasemaradapalya,12.91516546,77.44482971,2,25
Hunnigere Dodda Aladamara,12.92284534,77.36877870,7,22
Indiranagara Nelagadarenahalli,13.02764626,77.49376990,5,102
Indo American Hybrid Farm,12.90401500,77.51229062,69,619
ITI Layout Annapoorneshwarinagara,12.96777613,77.50246983,1,1
ITI Layout Cross Mallathahalli,12.96194430,77.49797769,4,51
Jagajyothinagara,12.94115406,77.49436207,0,0
Jaggath Pharma Mysore Road,12.89066514,77.45498792,10,31
Jaipura,12.88258064,77.42509201,1,2
Janapriya Apartment Sunkadakatte,12.98897848,77.49932013,81,655
Janapriya Town SHip,12.98877482,77.49944553,2,2
Jandemara,12.87463248,77.46123478,4,16
Jangamayyanapalya,12.87470505,77.42277727,2,3
Jayaram Das Factory,12.93012611,77.50572237,255,2047
Jettipalya Kanakapura Road,12.75062156,77.47297749,1,6
Jettipalya Tavarekere,12.97663145,77.40059756,17,117
Jnana Bharathi West Side Hospital,12.93126577,77.48983015,2,36
Jnana Jyothinagara Kenchanapura Cross,12.94062732,77.49322549,48,614
Jnanakshi Layout BEML Layout,12.91217723,77.51356467,7,23
Jn of Gangenahalli Tavarekere,12.98350323,77.38718166,0,0
Jn of Gollahallii Road Kengeri,12.90766999,77.48887628,29,313
Jn of Hosahalli Road Gollarahatti,12.98816455,77.47536800,1,1
Jn of Kommaghatta Kengeri,12.91437350,77.48148508,65,766
Jodi Aladamara Puradapalya,12.94003605,77.37784358,15,56
Jogerahalli,12.98553265,77.37427488,3,11
JSS College,12.90393306,77.50841481,61,555
Judicial Layout Kanakapura Road,12.86837720,77.53935411,3,31
Juggath Pharma,12.89089980,77.45516326,4,7
Jyothi Farm Kanakapura Road,12.85993253,77.52895553,66,469
Kachohalli,13.00016456,77.47057825,6,88
Kachohalli Gate,12.99049758,77.46865707,146,847
Kadabagere Cross,12.98910156,77.44971470,147,743
Kaggalipura Christ School,12.79913598,77.51189750,11,62
Kaggalipura Colony,12.80643951,77.50324372,2,21
Kaggalipura Kanakapura Road,12.80034992,77.50847579,61,494
Kalajjanapalya,12.92446449,77.39144772,1,3
Kalikanagara Shiva Temple Andrahalli,13.00892483,77.49023950,0,0
Kambipura,12.87335321,77.46174842,5,17
Kanminake,12.86312181,77.43372755,81,601
Kannalli,12.96755270,77.45893746,10,48
Karabele,12.87507961,77.46630750,3,13
Karekal Cross,12.97395494,77.37413063,34,144
Karekalpalya Puradapalya,12.93422926,77.38153964,6,25
Kari Obanahalli,13.02492724,77.48657899,4,91
Karishma Hills,12.88854136,77.53615625,2,34
Kariyappanapalya,12.86170677,77.38365725,3,25
Kasavepalya,12.85341528,77.37610616,2,23
KEB Office Somanahalli Gate,12.78216869,77.49904521,5,22
Kempadyapanahalli,12.86688086,77.35419184,11,72
Kenchanapalya,12.84457164,77.44405914,5,15
Kenchanapura,12.95710663,77.44964629,5,30
Kenchanapura Cross,12.94150431,77.49358887,131,1299
Kengeri Bandemutt,12.91908958,77.47743733,2,6
Kengeri Bande Mutt Badavane,12.91275697,77.47359574,1,10
Kengeri Church,12.92821010,77.48644888,129,1334
Kengeri Club,12.92343060,77.47299157,26,227
Kengeri Ganesha Temple,12.91127473,77.48031246,62,761
Kengeri Nice Road Junction,12.90291952,77.46950806,46,120
Kengeri Police Quarters,12.92331035,77.48881124,2,36
Kengeri Police Station,12.91043803,77.48209996,5,13
Kengeri Railway Station,12.91682099,77.48236992,1,3
Kengeri Robin Theatre,12.91601899,77.47986900,5,32
Kengeri Satellite Town,12.92383974,77.48494014,36,183
Kengeri Satellite Town Society,12.92155551,77.48410195,68,625
Kengeri TTMC,12.91240653,77.48541757,423,3472
Kengeri Workshop,12.90315221,77.47416705,12,20
Kethohalli,12.90734066,77.40334649,46,277
K Gollahalli Gonipura,12.83940489,77.45160871,4,7
KHB Colony Dodda Aladamara,12.91355763,77.39428617,1,6
KLE Society Law College,12.96825343,77.48151764,1,9
Kodipalya Kengeri,12.90369602,77.48782218,9,74
Koluru,12.89136913,77.41333253,7,50
Kommaghatta,12.92999859,77.46509254,14,80
Konasandra Kengeri,12.89239797,77.48634897,8,60
Krishnasagara Maragondanahalli,12.93605545,77.42879154,3,27
KRS Gowda Layout,13.03441839,77.49926013,1,1
KSIT College Raghuvanahalli,12.87980643,77.54444093,0,0
Kudusiddanapalya,12.93285717,77.37165288,7,30
Kullegowdanapalya,12.84666741,77.44701158,5,15
Kumarans School Mallasandra Kanakapura Road,12.85979775,77.54219323,0,0
Kumbalagodu,12.87846014,77.44534373,122,860
Kundalapura,12.89513739,77.41529323,4,25
Kuppareddy Kere,12.84238693,77.51774812,86,669
Kurubara Karenahalli,12.86209889,77.39496410,7,54
Kurubarapalya,12.91143083,77.36276150,11,54
Lakkayyanapalya,12.88935522,77.40251787,6,49
Lakkuppe,12.96992666,77.40998983,84,428
Lakshmaiah Badavane,12.98089997,77.46431798,1,9
Lakshmipura Kanakapura Road,12.83335109,77.51373453,82,662
Lakshmipura kolur,12.89216331,77.39208609,5,41
Lakshmipura Tavarekere,12.98959614,77.38318450,0,0
LG Godown,12.91714843,77.51125529,9,80
Lingadeeranahalli,12.99895386,77.47899569,2,14
Lingadeeranahalli Arch,12.99960919,77.48824362,2,14
Lingapura Thippuru,12.82140892,77.44405120,2,2
Macurex  Sensors Pvt Ltd Kumbalagodu,12.87206836,77.44417090,2,6
Madapatna,12.93458217,77.36094631,31,294
Madapatna Cross,12.93682380,77.37296529,9,40
Madarasa School Mysore Road,12.88053789,77.45935388,0,0
Mahadeshwaranagara,12.99200627,77.49424874,1,2
Maligondanahalli,12.91606022,77.41531469,4,14
Mallaiahnapalya Channenahalli,12.98569469,77.42724650,3,14
Mallasandra Poorvankara Apartment,12.85331853,77.54209266,1,20
Mallathahalli Bethimgere,12.86710051,77.36156054,8,55
Mallipalya,12.79588328,77.47428506,1,7
Manganahalli,12.95405617,77.46927202,3,35
Manganahalli AGS Layout,12.95160855,77.47921228,6,62
Manganahalli Cross,12.95270217,77.48403731,24,327
Manjunatha Kalyana Mantapa Kanakapura Road,12.87468086,77.53831006,2,20
Manjunatha Nagara Bharathnagara,12.98212355,77.48111534,3,4
Maragondanahalli Dodda Aladamara,12.93482333,77.43140057,2,18
Marenahalli,12.97324180,77.36155450,92,830
Marenahalli RINAC Factory,12.97481121,77.36583998,2,3
Mariyappanapalya,12.94522521,77.49552935,228,2247
Maruthinagara Herohalli Cross,12.98975230,77.49394298,4,65
Maruthinagara Sonnenahalli,12.93971566,77.47951001,3,31
Mayasandra Dodderi,12.87730805,77.37746671,6,35
Metipalya Tavarekere,12.99352232,77.40229765,16,115
Mind Tree Global Village,12.91803601,77.50189036,27,98
Mookambika Nagara Circle Mind Tree,12.91673864,77.50013955,2,19
Morison Factory,13.05067977,77.49239188,27,157
Muddayyanapalya Dodda Aladamara,12.92042745,77.38224908,2,13
Muddayyanapalya Gulaganjahalli,12.93186083,77.41724320,1,2
Muddinapalya,12.97149041,77.48795964,14,51
Mukkodlu,12.75661123,77.52840114,13,99
Mukthi Naga Temple,12.91515500,77.42285505,2,27
Muneshwara Layout Bengaluru University Quarters,12.95124028,77.49440948,22,307
Muneshwara Layout Karabele,12.87428865,77.47134604,4,14
Munikondappa Layout Widia Factory,13.05252494,77.50040978,2,12
Muninagara,12.74771508,77.53653914,3,38
Muniswamappa Layout,13.04399563,77.49057546,2,21
Mylasandra Cross Kengeri,12.91760310,77.49047137,53,355
Nagadevanahalli,12.93585372,77.49242237,111,1062
Naganayakanahalli Gudipalya,12.79251289,77.47746616,0,0
Nagarabhavi Vishweshwaraiah Sports Club,12.96908723,77.49946699,2,27
Nagarahole Nagara,12.99844750,77.49738156,6,76
Nagasandra,13.03946053,77.49998675,9,33
Nagasandra Metro Station,13.04773023,77.49946296,6,127
Nagegowdanapalya,12.85533076,77.51436666,1,12
Nalku Kamba,12.85214727,77.45198676,27,186
NallakkanaDoddy,12.79809246,77.52591481,1,8
Narasapura Srigandha Kavalu,12.97692913,77.49455921,2,29
Narayananagara,12.87396768,77.55386219,0,0
Narayananagara 3rd Block,12.88321339,77.55477279,2,18
Narayananagara Konanakunte,12.87998618,77.55340956,0,0
Narayanapura MRV Bricks Factory,12.80495662,77.46455938,1,7
Nawkalpalya,12.79427535,77.48903789,1,12
Neelagiri Thopu Hegganahalli,12.99595423,77.50253342,37,403
Nelaguli,12.77412553,77.49212204,8,58
Nettigere,12.75889801,77.49448478,3,16
New Byrohalli,12.91936276,77.45587170,6,41
NICE Office,12.87741655,77.49588155,10,36
NICE Road 10th Stone,12.87272827,77.49859862,10,36
NICE Road 11th Stone,12.86448760,77.51124591,10,36
NICE Road 12th Stone,12.85997623,77.52222955,10,36
NICE Road 2nd Stone,13.03237273,77.47574888,3,10
NICE Road 3rd Stone,13.02288104,77.47560069,3,10
NICE Road 4th Stone,13.00936769,77.47512124,3,10
NICE Road 5th Stone,12.97116193,77.47145132,4,13
NICE Road 6th Stone,12.94596327,77.47008272,4,13
NICE Road 7th Stone,12.93784200,77.46956304,4,13
NICE Road 8th Stone,12.92682129,77.46954895,4,13
NICE Road 9th Stone,12.88775048,77.48533979,6,20
NICE Road Kanakapura Road,12.85678315,77.52669855,95,681
Nishane Bannerughatta Forest,12.73198255,77.52185123,0,0
OB Chudanahalli,12.81788211,77.52051026,5,40
Omkar Hills,12.90478234,77.50453234,59,531
Omkar Nagara,12.89880689,77.50494540,0,0
Onti Mane Gottigere,12.84392200,77.55108475,2,3
Pachepalya,12.88547639,77.35821716,3,17
Pattanagere,12.91981766,77.51175888,13,75
Pattareddypalya,12.79407618,77.50538648,35,278
Peddanapalya Chandrappa Circle Main Road,12.95964605,77.38911085,0,0
Peddanapalya Cross,12.96764316,77.38862648,50,219
Pepsi Gate Mysore Road,12.87207623,77.43942671,71,563
Pinto Bore Kumbalagodu Road,12.87076843,77.45040582,7,34
Plegant Hotel Vahale,12.87960443,77.34085791,1,8
Press Layout Hullalu Road,12.95034340,77.49124344,22,307
Provident Sunworth Appartment,12.88206138,77.47080818,2,4
Punagumaranahalli,12.92899044,77.39998385,5,41
Puradapalya,12.94697612,77.38118110,14,53
Puttaiahnapalya Tavarekere,12.95997212,77.40680672,8,81
PVP School Mariyappanapalya,12.94862434,77.49722533,74,897
Raghuvanahalli Cross,12.88087919,77.54618772,132,912
Rajarajeshwari Temple,12.92676834,77.51101859,44,472
Ramanayakana Thandya Hejjala Road,12.86036911,77.38345943,3,25
Ramasandra,12.93262448,77.46165654,11,122
Ramohalli Ashrama,12.90633859,77.42880754,2,4
Ramohalli Cross Mysore Road,12.88639180,77.45055905,21,89
Ramohalli Dodda Aladamara,12.90705812,77.41906459,3,6
Ramohalli MGM School,12.89760684,77.43269473,2,4
Ramohalli Vinayakanagara,12.90299266,77.43017423,2,4
Rampura Kethohalli,12.89021543,77.39881441,5,41
Ranga Jangama,12.85574341,77.45276651,19,122
Ravagodlu,12.74817619,77.50113465,8,54
Ravagodlu Gate,12.74891861,77.48640927,28,199
Rayara Doddy,12.76715408,77.51368458,1,11
Richard Farm,12.77692386,77.52542385,12,83
Rock Line Studio Nagasandra,13.04059619,77.49634078,1,5
RR Medical College Mysore Road,12.89628911,77.46064603,27,103
RV College Kengeri,12.92535239,77.49922356,53,357
RWB Gate Kengeri,12.90394634,77.47571468,8,48
SaaluDoddy Kaggalipura,12.83047215,77.51299127,83,663
Saaluhunase Kanakapura Road,12.81106748,77.51163626,76,620
Sadanapalya,12.76229941,77.48690754,16,122
Santekatte Kanakapura Road,12.80652645,77.51056765,19,177
Savandarbar Ashrama,12.90978898,77.49236852,34,219
Seegehalli Gate,12.98403234,77.44389563,171,906
Seegehalli Magadi Road,12.97317386,77.44902872,2,6
Seegehalli Thippur,12.82539722,77.44929322,2,2
S Gollahalli,12.89375102,77.36145996,26,112
Shanimahathma Temple Kanakapura Road,12.83717491,77.51611584,83,663
Shanthi Dhama Mysore Road,12.92901985,77.50114739,1,9
Shanthinagara Manchanabele,12.87955140,77.34721467,22,110
Sheshagiripura,12.88087912,77.41809011,3,15
Shirke KHB Quarters Kengeri,12.93051452,77.48724080,62,561
Shivaji Hotel Chikka Basti,12.94298195,77.47669637,3,12
Shivanahalli Kengeri Satellite Town,12.92837087,77.49059826,1,1
Shobha Hills View Apartment Nagegowdanapalya,12.86490990,77.51998454,2,13
Shree Chakra Nagara,13.00884861,77.47624643,2,2
Shri Vishnu Garden Sulikere,12.94548484,77.45743418,2,38
Siddabhovipalya,12.85455869,77.37181865,2,23
Siddartha International School Nelagadarenahalli,13.02847523,77.48843171,4,70
Siddartha School Cross Kari Obanahalli,13.02605113,77.48896491,2,42
Sir M Vishweshwaraiah Layout 9th Block Mallathahalli Kere,12.96243309,77.49534812,3,33
Somanahalli,12.78047565,77.49671905,4,53
Sompura Nice Road,12.87765712,77.49659970,3,16
Sonnenahalli Dodda Basti,12.94198828,77.48286507,20,214
Sridhara Gudda,12.89914941,77.48759687,11,76
Srigandhada Kaval,12.97808569,77.49873340,1,0
Sri Mata Amritanandamayi Ashrama,12.94944359,77.48907879,22,307
Srinivasapura Colony,12.90035666,77.50691280,3,29
Srinivasapura Kullegowdanapalya,12.85125048,77.44323143,2,10
Sri Shiradi Sai Temple Hunasemaradapalya,12.91346351,77.45057165,6,43
Sri Swanandashrama Agara,12.84408006,77.49434252,7,33
St Benetic School Mysore Road,12.88708898,77.45875709,0,0
St Clare School,12.91446612,77.44791292,19,75
Subbarayanapalya,12.87870955,77.42018893,3,15
Subbarayappanapalya Cross,12.88928148,77.43767551,63,396
Sulikere,12.93477824,77.44662680,4,8
Sulikere Banglow,12.93302218,77.45190136,2,18
Sulikere Palya,12.94456414,77.44964102,5,51
Sulivara,12.90298554,77.36211240,12,60
Sunkadakatte Maramma Temple,12.99462199,77.50428825,38,444
Swami Narayana Gurukula Mysore Road,12.86654682,77.43678242,71,563
Syndicate Bank Layout Andrahalli Road,12.99805287,77.48931348,12,122
Tataguppe,12.77373622,77.52924575,15,102
Tavarekatte Dodda Aladamara,12.91143148,77.38279827,10,57
Tavarekere,12.96697091,77.40324676,104,585
Tavarekere BWSSB,12.96995480,77.39933560,19,127
Tavarekere Dodda Aladamara Cross,12.96387136,77.40733646,10,96
Tavarekere Eshwara Temple,12.95343340,77.41177015,0,0
Tavarekere Estate,12.95441494,77.40397566,6,68
Tavarekere Manjunatha Nagara,12.96434119,77.40373291,0,0
Thagachaguppe Kumbalagodu Road,12.86646904,77.45500846,7,34
Thalagattapura,12.86934970,77.53685318,120,824
Thalagattapura Balaji Layout,12.87772245,77.53983557,2,13
Thalaghattapura Twinklers School,12.86692858,77.53447652,0,0
Thalaguppe,12.81140639,77.43323587,1,11
Thalegere,12.83115475,77.52948761,4,30
Tharalu Kaggalipura,12.78639485,77.52429333,3,29
Thataguni,12.84368640,77.50915957,11,61
Thataguni BWSSB,12.84853892,77.51610112,11,56
Thataguni Chowdeshwarinagara,12.84985717,77.51879037,10,50
Thigalarapalya,13.01375915,77.48339039,14,214
Thimmegowdanapalya Banjarapalya,12.82440109,77.48999447,3,22
Thippadondanahalli TB Gate,12.96298460,77.33624920,1,17
Thippennahalli,13.02936311,77.48360826,3,13
Thippuru,12.81509739,77.44123153,13,86
Thittahalli,12.82179207,77.46048711,6,59
Thunga Nagara,12.99191829,77.48512655,13,232
Tunganagara Cross,12.98552677,77.48498239,8,84
Udaya Badavane Manganahalli,12.96173976,77.46729121,0,0
Uddandahalli,12.88715304,77.37667613,5,41
Udipalya Kanakapura Road,12.82036323,77.51426973,59,494
Ullala BDA Park,12.95649116,77.47616917,1,21
Ullala Satellite Town Cross,12.96209590,77.47855246,7,157
Ullalu Village,12.95593789,77.47860188,6,27
Upadhyaya Badavane,12.93527035,77.49900766,1,22
Upkar Layout Cross,12.96371388,77.47988485,7,157
Upkar Residency Layout,12.96404583,77.48891451,15,110
Uttari Cross,12.80836331,77.51046002,3,48
Utthari,12.81796908,77.49323622,7,85
Vaderahalli Talegere,12.83541162,77.52681345,4,30
Vahale Gate,12.87687269,77.34202534,22,110
Vajramuneshwara Gate,12.86467733,77.53315418,113,786
Vajramuneshwara Temple,12.86194723,77.53403395,1,8
Vally School Kanakapura Road,12.85436386,77.51003891,4,5
Varahasandra,12.87402913,77.48669699,1,14
Varthuru Tavarekere,12.98550734,77.40213679,17,117
Vasudevapura,12.79791427,77.52103329,31,210
Veerasandra Kanakapura Road,12.75620157,77.48075724,1,9
Venkateshwara Layout Andrahalli Road,12.99337469,77.48852223,12,122
Venugopalanagara Nagasandra,13.03969348,77.49402862,2,10
Vidyamanya Nagara,13.00460740,77.48732865,14,235
Vidyaniketan Public School Manganahalli,12.95119079,77.48611647,23,308
Vigneshwaranagara Hegganahalli,12.99246909,77.49922626,63,631
Vishweshwaraiah Layout 1st Block,12.93752112,77.47892462,1,19
Vishweshwaraiah Layout 5th Block,12.95841425,77.48161956,1,1
Vishweshwaraiah Layout RTO Office,12.96130324,77.48680361,1,1
Widia Factory,13.04904893,77.49697079,186,1266
Yalachaguppe,12.95924090,77.42103785,6,47
Yale Kodigehalli,12.98291377,77.46845596,11,98
Yanasandra,12.75186429,77.53480400,2,23
YMCA Public School Mysore Road,12.87346391,77.44828341,7,34
Alisda Goraguntepalya,13.03398306,77.54105330,35,345
Annapoorneshwarinagara,12.98041988,77.50671759,10,114
Annapoorneshwarinagara 3rd Main Road,12.97813873,77.50428176,1,9
Annapoorneshwarinagara Laggere,13.00095121,77.51711189,1,13
Annapoorneshwarinagara St Josephine School,12.97780677,77.50593808,2,21
Ayyappa Temple Jalahalli Cross,13.04661941,77.52259909,64,603
Balavikas School Gidadakonenahalli,12.97011573,77.49145187,1,1
Banashankari 5th Stage,12.90217343,77.52798289,2,37
Bande Maramma Bus Station,12.96679886,77.51627237,13,103
Bangarappanagara,12.92511811,77.52656132,4,74
Basaveshwara Satellite Bus Station Peenya,13.04368272,77.52535701,12,77
BEL Circle,13.04508407,77.55670088,398,3010
BEL Hospital,13.05041627,77.55761601,72,688
BEL Market,13.05180862,77.55187072,134,1017
BEML layout 5th stage,12.90667884,77.52179885,82,551
BEML Layout Complex,12.92006302,77.52041397,27,323
BEML Layout Double Road,12.91466179,77.52059359,28,305
BEML Layout Kuvempu Circle,12.90983524,77.52102413,24,258
Bengaluru Children Hospital,12.90990035,77.51342614,13,108
Bengaluru University,12.93572605,77.51342250,64,399
Bengaluru University Quarters,12.95183022,77.50017107,180,1817
Bengaluru University Railway Gate,12.93158372,77.50626370,1,9
Bharathnagara Srigandha Kavalu,12.97963234,77.50192791,2,3
Bhavaninagara 2nd Stage,12.96075238,77.48813198,2,2
BHEL Concord Layout,12.90819027,77.50934020,3,29
BHEL Layout Glass House,12.90692030,77.51213104,4,26
BHEL Layout Halage Vaderahalli,12.91582624,77.51098439,5,17
BHEL Layout Maramma Temple,12.92194308,77.50880577,12,45
BHEL Layout Water Tank,12.91894644,77.50898547,14,81
BME-1 NICE Road,12.91946799,77.53195927,4,16
BME-2 NICE Road Nayandahalli,12.89334248,77.51351774,4,16
Bombay Dyeing Mattikere,13.02493306,77.55742215,7,58
Byravanagara Dubasipalya,12.93149418,77.49926649,1,9
Cauverynagara Kurubarahalli,12.99958372,77.53069326,8,164
Channasandra Patalamma Temple,12.90481156,77.53011235,36,310
Channasandra Uttarahalli,12.90281228,77.52150826,37,309
Chowdeshwari Bus Stand JP Park,13.03288550,77.55434632,31,372
CMTI,13.03064786,77.53631696,300,2527
CS-CQAEL CQEAE Complex,13.03732259,77.54164875,25,120
CS-Outdoor Clothing Company,13.02306004,77.51731575,1,3
Dattatreyanagara Hoskerehalli,12.92326067,77.54042231,0,0
Deepa Complex,12.96644869,77.50511787,107,1083
Depot-31 Gate,12.99306649,77.52157567,121,943
Devadiga Soudha,12.92651673,77.51993693,3,33
Divanarapalya Mattikere,13.02633291,77.56183919,66,523
Dubasipalya,12.92288098,77.49601394,3,15
Durga Bakery Mallathahalli,12.96095397,77.50160035,4,51
Dwaraka Layout Channasandra,12.89994945,77.52331316,1,13
Eranapalya Annapoorneshwarinagara,12.97484664,77.50180185,0,0
Fathima Church Gangamma Circle,13.05467646,77.54082195,63,655
Ganakal Uttarahalli,12.89792581,77.51213371,1,1
Gangamma Circle,13.05835169,77.54601337,170,1205
GGMC,13.05678005,77.54661888,4,7
Gokula Mattikere,13.04122662,77.55727222,64,529
Goraguntepalya,13.02882463,77.53963211,363,3128
Goraguntepalya Reliance Petrol Bunk,13.02848485,77.53620576,40,498
Govardhan Talkies,13.01999619,77.55268998,364,3283
Govt Soap Factory,13.01310347,77.55432151,120,1114
Govt Sub-Urban Press,12.93487691,77.50222966,1,2
Halage Vaderahalli,12.92023676,77.51396004,28,166
Haridasanagara BEML Layout,12.91852224,77.52732977,0,0
Hegganahalli Cross,12.99969544,77.50402406,101,1074
Herohalli Cross,12.98789774,77.49380886,204,1354
H Krishnappa Layout,12.92326525,77.52981082,6,30
HMT Auditorium,13.04919871,77.54484191,27,281
HMT Auditorium KIAS,13.04964291,77.54274845,0,0
HMT House Gangamma Circle,13.05346155,77.55054803,81,726
HMT Post Office,13.05062733,77.54143149,21,247
HMT Watch Factory,13.05059084,77.53509012,15,112
